20:28:29.349303 config: drop-rate=0.00, max-delay=0s, seed=1574990909348804200
20:29:07.397832 [queue=0] packet #1206, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:07.398828 [queue=0] packet #1207, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:07.399826 [queue=0] packet #1208, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:07.401323 [queue=0] packet #1209, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:07.418789 [queue=0] packet #1210, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:07.421286 [queue=0] packet #1211, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:07.422283 [queue=0] packet #1212, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:07.423281 [queue=0] packet #1213, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:07.423783 [queue=0] packet #1214, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:07.424778 [queue=0] packet #1215, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:07.425277 [queue=0] packet #1216, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:07.425776 [queue=0] packet #1217, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:07.426276 [queue=0] packet #1218, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:07.427273 [queue=0] packet #1219, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:07.428271 [queue=0] packet #1220, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:07.428770 [queue=0] packet #1221, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:07.429269 [queue=0] packet #1222, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:07.430267 [queue=0] packet #1223, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:07.430767 [queue=0] packet #1224, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:07.431765 [queue=0] packet #1225, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:07.431765 [queue=0] packet #1226, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:07.432263 [queue=0] packet #1227, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:07.432762 [queue=0] packet #1228, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:07.433263 [queue=0] packet #1229, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:07.433760 [queue=0] packet #1230, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:07.434260 [queue=0] packet #1231, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:07.434759 [queue=0] packet #1232, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:07.435257 [queue=0] packet #1233, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:07.436256 [queue=0] packet #1234, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:07.436755 [queue=0] packet #1235, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:07.437753 [queue=0] packet #1236, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:07.438253 [queue=0] packet #1237, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:07.438751 [queue=0] packet #1238, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
